,price,product,category
0,$6.99,DAVE'S KILLER BREAD White Bread Done Right,bread
1,$6.99,DAVE'S KILLER BREAD Good Seed Bread,bread
2,$6.99,BREAD ALONE Organic Peasant Loaf,bread
3,$3.99,BREAD & CHOCOLATE Ciabatta Bread,bread
4,$2.99,BOGHOSIAN VELLEY BREAD Lavash,bread
5,$6.99,BREAD ALONE Organic Rye Sourdough Loaf,bread
6,$3.89,ELI'S Traditional Hearth Baked Sliced Bread,bread
7,$4.99,BREAD & CHOCOLATE Dinner Ciabatta Rolls 6ct.,bread
8,$6.99,DAVE'S KILLER BREAD Organic White Done Right Bread,bread
9,$3.99,BREAD & CHOCOLATE Olive Oil Ciabatta Bread,bread
10,$6.99,BREAD ALONE Organic Whole Wheat Sourdough Bread,bread
11,$2.99,Health Bread,bread
12,$3.49,Manor House Bread,bread
13,$2.99,Country White Bread,bread
14,$2.99,Euro Rye Bread,bread
15,$4.99,BREAD & CHOCOLATE Brioche Loaf,bread
16,$5.99,BREAD & CHOCOLATE Challah Loaf,bread
17,$2.99,ELI'S Sliced Whole Wheat Bread,bread
18,$6.99,DAVE'S KILLER BREAD Organic 21 Whole Grains & Seeds Bread,bread
19,$3.29,JOSEPH'S Lavash Bread,bread
20,$2.69,ELI's San Francisco Style Sourdough Bread,bread
21,$2.49,STONEFIRE Original Naan Bread,bread
22,$8.99,FOUR FLOURS Zucchini Carrot Bread,bread
23,$1.99,CHABASO Roasted Garlic Ciabatta Bread,bread
24,$1.99,CHABASO Stone Ground Wheat Ciabatta Bread,bread
25,$6.99,THREE BAKERS Cinnamon Raisin Gluten Free Bread,bread
26,$4.99,PEPPERIDGE FARM Whole Grain 15 Grain Bread,bread
27,$6.99,THREE BAKERS Rye Style Gluten Free Bread,bread
28,$6.99,CANYON BAKEHOUSE Mountain White Gluten-Free Bread,bread
29,$4.99,SILVER HILLS Hemptation Sprouted Wheat Bread,bread
30,$4.99,SILVER HILLS Big Red's Ancient Grain Bread,bread
31,$6.99,BERLIN NATURAL BAKERY Classic White Spelt Bread,bread
32,$4.79,SILVER HILLS Organic Little Big Sprouted Wheat Bread,bread
33,$5.29,ALVARADO ST. BAKERY Organic Sprouted Sourdough Bread,bread
34,$4.79,SILVER HILLS Organic Squirrelly Sprouted Wheat Bread,bread
35,$6.99,THREE BAKERS Gluten-Free 7 Ancient Grain Bread,bread
36,$5.49,ALVARADO ST. BAKERY Seriously Sprouted Rye Seed Bread,bread
37,$5.49,ALVARADO ST. BAKERY Seriously Sprouted No Salt Added Multi-Grain Bread,bread
38,$5.29,ALVARADO ST. BAKERY Organic Sprouted Multi-Grain Bread,bread
39,$6.99,THREE BAKERS Whole Grain Gluten-Free White Bread,bread
40,$6.99,UDI'S Ancient Grain Omega-3 Flax And Fiber Gluten-Free Bread,bread
41,$6.99,UDI'S Whole Grain Sandwich Bread,bread
42,$4.79,SILVER HILLS Organic The Big 16 Sprouted Wheat Bread,bread
43,$5.29,ALVARADO ST. BAKERY Organic Sprouted White Multi-Grain Bread,bread
44,$5.29,ALVARADO ST. BAKERY Organic California Style Bread,bread
45,$5.29,ALVARADO ST. BAKERY Organic Sprouted 100% Whole Wheat Bread,bread
46,$6.99,RUDI'S Organic Spelt Ancient Grain Bread,bread
47,$6.99,LITTLE NORTHERN BAKEHOUSE Ancient Grain Bread,bread
48,$5.99,ALVARADO ST. BAKERY Organic Sprouted Flax Seed Bread,bread
49,$6.99,LITTLE NORTHERN BAKEHOUSE Seeds & Grain Gluten-Free Bread,bread
50,$9.99,GRACIE'S KITCHEN Chicken Breast Herb Bread Stuffing 18oz.,bread
51,$7.99,House-made Almond Chocolate Chip Bread,bread
52,$6.99,BREAD ALONE Organic French Sourdough Bread,bread
53,$2.99,BREAD & CHOCOLATE Cinnamon Roll,bread
54,$2.99,BREAD & CHOCOLATE Cranberry Scone,bread
55,$2.99,BREAD & CHOCOLATE Chocolate Croissant,bread
56,$2.99,BREAD & CHOCOLATE Blueberry Scone,bread
57,$2.99,BREAD & CHOCOLATE Almond Croissant,bread
58,$4.99,BREAD & CHOCOLATE Sourdough Loaf,bread
59,$9.99,BREAD & CHOCOLATE Blueberry Pie,bread
60,$3.99,BREAD & CHOCOLATE Soft Rolls,bread
61,$9.99,BREAD & CHOCOLATE Apple Pie,bread
62,$2.99,BOGHOSIAN VELLEY BREAD Lavash Whole Wheat Bread,bread
63,$3.99,ELI'S Jewish Rye Bread,bread
64,$2.99,BREAD & CHOCOLATE Morning Glory Muffin,bread
65,$3.99,BREAD & CHOCOLATE Dinner Rolls 6ct.,bread
66,$4.99,BREAD & CHOCOLATE Brioche dinner rolls,bread
68,$2.99,BREAD & CHOCOLATE Blackberry Almond Scone,bread
70,$2.99,BREAD & CHOCOLATE Raspberry Cheese Danish,bread
71,$2.99,BREAD & CHOCOLATE Jalapeno Cheddar Scone,bread
72,$2.99,BREAD & CHOCOLATE Blackberry Chocolate Scone,bread
74,$4.99,BREAD & CHOCOLATE Rolls Wheat Ciabatta 6ct.,bread
76,$3.99,MESTEMACHER Sunflower Seed Bread,bread
81,$3.99,MESTEMACHER Whole Rye Bread,bread
86,$2.99,JOSEPH'S Original Pita Bread,bread
87,$3.99,MESTEMACHER Organic Flax Seed Bread,bread
88,$1.99,CHABASO Ciabatta Bread,bread
91,$6.19,UDI'S Gluten Free Multi-Grain Sandwich Bread,bread
